number,value,datetime_start,datetime_complete,duration,params_batch_size,params_dropout,params_ffn_multiplier,params_hidden_dim,params_lr,params_num_heads,params_num_lstm_layers,params_num_trans_layers,params_weight_decay,state
37,0.0002733160196969818,2026-03-12 16:39:59.667017,2026-03-12 16:40:06.639737,0 days 00:00:06.972720,64,0.4062530767924761,3,32,0.002331672898621055,8,1,1,1.8822128463742252e-05,PRUNED
38,0.002886153175495565,2026-03-12 16:40:06.707394,2026-03-12 16:40:08.354416,0 days 00:00:01.647022,256,0.5204300445414582,3,128,0.003827395533055159,8,1,1,5.3827082499743485e-05,PRUNED
39,0.0006996190266883266,2026-03-12 16:40:08.421695,2026-03-12 16:40:11.715993,0 days 00:00:03.294298,64,0.3421310695813794,2,32,0.0005424676739377802,8,2,2,8.275794525697502e-05,PRUNED
40,0.0025155253367431995,2026-03-12 16:40:11.782436,2026-03-12 16:40:17.716885,0 days 00:00:05.934449,32,0.41565956400234166,4,128,2.7574137874407303e-05,8,1,1,0.0030150241526431857,PRUNED
41,0.00017159534399979748,2026-03-12 16:40:17.786476,2026-03-12 16:40:24.757214,0 days 00:00:06.970738,128,0.48286585079836425,3,128,0.0020495643920418584,4,1,1,4.2424637901405817e-05,COMPLETE
42,0.000171395546203712,2026-03-12 16:40:24.824221,2026-03-12 16:40:31.380898,0 days 00:00:06.556677,128,0.45925521561741783,2,128,0.0026749103339261675,4,1,1,3.8587703134580015e-05,COMPLETE
43,0.00017485267744632438,2026-03-12 16:40:31.450898,2026-03-12 16:40:40.487839,0 days 00:00:09.036941,128,0.47113261989275995,2,128,0.0027850980660961387,4,1,1,3.63712654888709e-05,COMPLETE
44,0.0001829753746278584,2026-03-12 16:40:40.560589,2026-03-12 16:40:45.932358,0 days 00:00:05.371769,128,0.47509922374843166,2,128,0.0027522456080811834,4,1,1,3.7775058832160555e-05,COMPLETE
45,0.00044574028288479894,2026-03-12 16:40:46.003878,2026-03-12 16:40:47.587686,0 days 00:00:01.583808,128,0.4543457419001503,2,64,0.002074707646024824,4,1,1,1.3983452586593912e-05,PRUNED
46,0.0003740488173207268,2026-03-12 16:40:47.660095,2026-03-12 16:40:49.199703,0 days 00:00:01.539608,128,0.3880630534584645,2,32,0.003592812936217003,4,1,1,2.54424552089831e-05,PRUNED
47,0.0001738956525514368,2026-03-12 16:40:49.275709,2026-03-12 16:40:55.093595,0 days 00:00:05.817886,128,0.4230360029704774,2,128,0.002912453057886902,4,1,2,4.696393529594054e-05,COMPLETE
48,0.00017046987704816274,2026-03-12 16:40:55.161560,2026-03-12 16:41:03.341395,0 days 00:00:08.179835,128,0.36249476688901583,2,128,0.004910735407860397,4,1,2,1.0662350788077002e-05,COMPLETE
49,0.00017615468459553085,2026-03-12 16:41:03.415753,2026-03-12 16:41:14.316987,0 days 00:00:10.901234,128,0.3630449339000416,2,128,0.004603262427964103,4,1,2,1.136414359189308e-05,COMPLETE
50,0.0015398304219291145,2026-03-12 16:41:14.389497,2026-03-12 16:41:17.298302,0 days 00:00:02.908805,64,0.25699659330415603,2,128,0.001968639582544317,4,2,2,4.6389371946474196e-05,PRUNED
51,0.00018419717525830492,2026-03-12 16:41:17.367646,2026-03-12 16:41:23.495388,0 days 00:00:06.127742,128,0.31560931857482766,2,128,0.0035303737154583283,4,1,2,1.742573945068074e-05,COMPLETE
