date,open,high,low,close,volume,amount,sma_5,sma_20,rsi_14,macd_12_26_9,macdh_12_26_9,macds_12_26_9,bbl_5_2.0_2.0,bbm_5_2.0_2.0,bbu_5_2.0_2.0,bbb_5_2.0_2.0,bbp_5_2.0_2.0,imf_1,imf_2,imf_3,imf_4,imf_5,imf_6,imf_7,imf_8,imf_residue
2009-10-16,3250.102,3268.425,3188.434,3241.709,5563625600,18035655180150.4,3211.78,3166.18425,55.97918309961527,0.15408425176610763,23.241051792363518,-23.08696754059741,3136.2172178644655,3211.78,3287.342782135535,4.705352305297043,0.6980406170481976,-24.25089676725307,-20.957776695136076,86.91294592761437,-43.51342013256854,-95.15923956621542,414.99411043827126,-285.7876473111877,463.0858889723221,2746.385035134153
2009-10-19,3238.848,3330.789,3231.807,3329.158,7768314400,25861946031275.2,3247.2852000000003,3170.7355,61.33785197707931,13.228912890255742,29.052704344682525,-15.82379145442678,3149.4769647186017,3247.2852000000003,3345.093435281399,6.024000311484715,0.9185373540604636,17.17717566074721,-1.9501603847866447,96.403502582617,-42.65958097071494,-80.92914516869101,416.7689510494665,-284.5010695753905,462.2439150470889,2746.6044117596634
2009-10-20,3355.358,3379.63,3343.018,3377.574,8942628000,30204387824472.0,3283.0966000000003,3174.9445000000005,63.954069260755965,27.184212673798356,34.40640330258011,-7.222190628781753,3149.8637094914607,3283.0966000000003,3416.32949050854,8.116294263686278,0.8545573455600446,26.53384430873339,12.003195860297655,102.27182082256662,-40.27691565685284,-66.54641734790859,418.5684546599068,-283.2039139903057,461.39988329006303,2746.8240480534996
2009-10-21,3375.027,3414.657,3358.55,3369.285,8348894400,28129804668504.0,3311.4738,3178.27665,63.165991511945975,37.14682973869594,35.49521629398215,1.651613444713786,3177.1201868633984,3311.4738,3445.827413136602,8.114430084671168,0.7151456840286873,-0.4114972956647952,8.784510167747985,103.31939044378795,-36.415829274020645,-52.083338531536064,420.39020629682847,-281.89617708702656,460.5537912949284,2747.0439439849556
2009-10-22,3364.145,3381.145,3341.415,3347.32,6093658400,20397424635488.0,3333.0092,3182.73085,61.020196479357445,42.77677952186423,32.90013286172035,9.876646660143875,3224.1179132831135,3333.0092,3441.9004867168865,6.534112580120481,0.56571141012048,-31.261623406486002,6.730540104869263,92.02575390335831,-31.18621521870826,-37.612127152536964,422.2317909874592,-280.5778553966498,459.7056366553733,2747.264099523321
2009-10-23,3354.984,3436.391,3354.984,3413.252,8672543200,29601575422486.4,3367.3178,3187.3886500000003,64.87714989868569,51.95975693577839,33.66648822050761,18.293268715270777,3303.4813481495235,3367.3178,3431.154251850476,3.791531161714309,0.8597803344991,23.96960166642486,21.751783789704678,64.4959895955162,-24.94215331949547,-23.20500164388647,424.09079375903616,-279.2489454502707,458.8554169650837,2747.484514637887
2009-10-26,3421.696,3432.895,3385.44,3414.239,6844252800,23367914835619.2,3384.334,3198.1161500000003,64.93308801756352,58.64099842034602,32.278183764060195,26.362814656285828,3326.2584806647615,3384.334,3442.409519335238,3.432020559155117,0.7574664879652209,32.92532621832261,28.218798998594675,26.396009019005508,-18.130628772867627,-8.934180438551026,425.96479963878954,-277.9094437789842,458.0031298177416,2747.705189297949
2009-10-27,3384.294,3392.102,3314.323,3314.722,7420955200,24598403462454.4,3371.7636,3203.4220500000006,55.359493646748845,55.268637778108314,23.124658497457986,32.14397928065033,3285.840238163664,3371.7636,3457.6869618363366,5.096642115499225,0.1680669914391228,-33.75138136315524,13.19367476287964,-15.008223047860156,-11.207131402257561,5.12811803049417,427.8513936539541,-276.5593469138853,457.14877280703286,2747.9261234727974
2009-10-28,3303.773,3337.167,3258.274,3329.327,6259484800,20839871750729.6,3363.7720000000004,3213.3371000000006,56.376030472049514,53.161704080878735,16.814179840182724,36.34752424069601,3269.6538969695084,3363.7720000000004,3457.8901030304924,5.595985877193338,0.3170118240226281,33.39884963419544,-25.11831938579289,-52.22522465164725,-4.627151031098515,18.909675330283093,429.74816083176074,-275.19865138606644,456.29234352664014,2748.1473171317257
2009-10-29,3265.186,3291.18,3239.005,3247.051,6130535200,19906160451695.2,3343.7182000000003,3222.686200000001,49.53304909423837,44.341813530845684,6.395431432119736,37.94638209872595,3201.5895034505033,3343.7182000000003,3485.846896549497,8.501236530608166,0.15993074464615395,-30.292897064377826,-40.10047032197491,-77.675670445764,1.1538225171762684,32.33827302784597,431.6526861994455,-273.8273537266279,455.4338395702533,2748.3687702440234
